source_type,source_name,RA,DEC,z_hetdex,z_hetdex_conf
lae,HETDEX J010953.27-005610.4,17.471943,-0.93623006,1.9375863,0.95
lae,HETDEX J021750.69-005609.6,34.46119,-0.93601,2.9027202,0.93700325
lae,HETDEX J012747.09-005608.5,21.946213,-0.935708,3.1618853,0.95
lae,HETDEX J012746.61-005604.9,21.944212,-0.93469995,2.862665,0.13138616
lae,HETDEX J012746.71-005600.7,21.94464,-0.93354,2.6494558,0.95
lae,HETDEX J013631.88-005558.7,24.132816,-0.9329731,2.0645466,0.6897263
lae,HETDEX J022500.48-005557.6,36.252014,-0.932653,2.1188445,0.95
lae,HETDEX J022138.91-005557.2,35.412132,-0.9325508,3.157762,0.95
lae,HETDEX J022138.91-005557.2,35.412132,-0.9325508,3.157762,0.95
lae,HETDEX J022138.91-005557.2,35.412132,-0.9325508,3.157762,0.95
lae,HETDEX J020016.07-005551.8,30.066944,-0.931055,2.2375526,0.95
lae,HETDEX J020946.19-005548.5,32.442444,-0.930138,1.9404004,0.95
lae,HETDEX J021829.53-005546.6,34.623035,-0.929614,2.6578653,0.95
lae,HETDEX J013531.98-005543.1,23.883236,-0.928629,2.2574399,0.95
lae,HETDEX J012730.23-005539.7,21.875954,-0.9277,3.1117415,0.95
lae,HETDEX J021731.07-005537.1,34.379444,-0.926974,2.3562603,0.95
lae,HETDEX J022015.37-005536.4,35.06406,-0.92677397,2.4974892,0.95
lae,HETDEX J015743.91-005535.2,29.432968,-0.9264429,2.0953286,0.8674405
agn,HETDEX J021033.29-005533.5,32.638725,-0.9259775,2.383,1.0
agn,HETDEX J021033.29-005533.5,32.638725,-0.9259775,2.383,1.0
lae,HETDEX J012817.85-005531.0,22.074368,-0.925282,1.9996183,0.95
lae,HETDEX J014131.16-005530.6,25.37982,-0.92516,2.3771026,0.95
lae,HETDEX J020016.87-005530.5,30.070278,-0.925125,2.9557512,0.95
lae,HETDEX J022451.05-005529.8,36.2127,-0.924939,2.1959012,0.3400436
lae,HETDEX J022016.55-005529.8,35.06894,-0.924934,2.4118502,0.95
lae,HETDEX J014229.77-005529.6,25.624052,-0.92488,2.0298402,0.95
lae,HETDEX J013630.83-005525.6,24.128475,-0.923765,1.964772,0.95
lae,HETDEX J021755.57-005525.3,34.481544,-0.9236851,2.5640144,0.95
lae,HETDEX J015724.74-005525.1,29.353083,-0.923642,2.9559243,0.95
lae,HETDEX J021309.41-005524.9,33.289204,-0.92359096,2.2954373,0.95
lae,HETDEX J021721.37-005524.3,34.33903,-0.9234089,2.8826509,0.95
lae,HETDEX J012756.27-005523.1,21.984457,-0.923074,2.2435672,0.95
lae,HETDEX J013545.19-005522.5,23.93831,-0.9229279,2.2133615,0.95
lae,HETDEX J010933.74-005519.8,17.39058,-0.922153,2.1690116,0.95
lae,HETDEX J003826.62-005519.3,9.610912,-0.92201394,2.2616115,0.95
lae,HETDEX J020032.31-005518.0,30.134645,-0.921675,2.1365104,0.95
lae,HETDEX J020017.07-005515.3,30.071136,-0.92092204,3.1304612,0.93634945
lae,HETDEX J013634.04-005513.8,24.141853,-0.92049104,2.0601034,0.7331383
lae,HETDEX J013307.06-005504.2,23.27941,-0.917839,1.9436746,0.95
lae,HETDEX J015806.51-005501.9,29.527122,-0.917205,3.0226378,0.95
lae,HETDEX J003739.35-005500.9,9.41397,-0.9169081,2.451008,0.95
lae,HETDEX J022434.82-005500.2,36.14509,-0.91673,2.028491,0.95
lae,HETDEX J014138.62-005459.8,25.410912,-0.916603,3.0364776,0.20226598
lae,HETDEX J011128.51-005458.4,17.868797,-0.91621196,2.9130058,0.95
lae,HETDEX J013626.51-005454.4,24.110468,-0.91510004,2.0673032,0.95
lae,HETDEX J022457.11-005452.3,36.237976,-0.914538,3.0344949,0.95
lae,HETDEX J021302.56-005449.0,33.26065,-0.913607,1.9655786,0.95
lae,HETDEX J014154.27-005446.0,25.476141,-0.912772,2.856091,0.95
lae,HETDEX J012755.06-005444.8,21.979418,-0.912445,2.2820337,0.95
lae,HETDEX J022220.27-005444.3,35.58446,-0.912303,2.026401,0.10823479
lae,HETDEX J021739.94-005443.8,34.416424,-0.912176,1.9995031,0.95
lae,HETDEX J021755.61-005441.3,34.481724,-0.91146,2.9219575,0.95
lae,HETDEX J012824.80-005439.4,22.103354,-0.910936,2.851779,0.95
lae,HETDEX J022129.62-005438.5,35.3734,-0.910682,3.1133213,0.95
lae,HETDEX J022256.89-005438.0,35.737045,-0.910557,3.345077,0.88995606
lae,HETDEX J022019.29-005435.8,35.080215,-0.90951854,2.895708,0.95
lae,HETDEX J022019.42-005430.1,35.080906,-0.90837,2.795004,0.6616131
lae,HETDEX J015442.13-005427.4,28.675554,-0.90760106,2.4947658,0.95
lae,HETDEX J014218.99-005427.1,25.579126,-0.90752494,2.8594894,0.95
lae,HETDEX J021732.56-005425.9,34.38539,-0.9071358,2.0483797,0.95
lae,HETDEX J022133.49-005424.3,35.389545,-0.9067501,2.5615618,0.95
lae,HETDEX J012818.24-005423.8,22.076,-0.906604,2.250092,0.95
agn,HETDEX J013238.61-005422.3,23.160889,-0.90620744,2.133,1.0
agn,HETDEX J013238.61-005422.3,23.160889,-0.90620744,2.133,1.0
agn,HETDEX J013238.61-005422.3,23.160889,-0.90620744,2.133,1.0
lae,HETDEX J015735.83-005417.0,29.399288,-0.904721,2.550544,0.95
lae,HETDEX J014217.93-005415.2,25.574696,-0.90421903,2.194815,0.95
lae,HETDEX J021932.05-005413.0,34.88355,-0.903613,2.5879502,0.18521056
lae,HETDEX J003733.24-005412.4,9.388491,-0.903446,2.3396475,0.80846626
lae,HETDEX J012819.66-005411.1,22.081932,-0.90307707,2.2755334,0.95
lae,HETDEX J021242.15-005411.0,33.175617,-0.9030439,2.1268835,0.95
lae,HETDEX J022247.05-005410.8,35.696053,-0.90301,2.5529552,0.95
lae,HETDEX J003819.39-005407.2,9.580771,-0.90200394,2.1986907,0.95
